time;model_id;model_name;port_name;data
0;443;893152;;2270738, 0, 0, 0, 0.00
0;444;891902;;2266735, 0, 0, 0, 0.00
0;445;886688;;2249751, 0, 0, 0, 0.00
0;446;671944;;72233, 0, 0, 0, 0.00
0;447;883328;;2238744, 0, 0, 0, 0.00
0;448;891599;;2265743, 0, 0, 0, 0.00
0;449;885462;;2245748, 0, 0, 0, 0.00
0;450;882730;;2236752, 0, 0, 0, 0.00
0;451;880901;;2230738, 0, 0, 0, 0.00
0;452;890037;;2260732, 0, 0, 0, 0.00
0;453;671943;;72232, 0, 0, 0, 0.00
0;454;883013;;2237732, 0, 0, 0, 0.00
0;455;881213;;2231749, 0, 0, 0, 0.00
0;456;892227;;2267749, 0, 0, 0, 0.00
0;457;883618;;2239731, 0, 0, 0, 0.00
0;458;885761;;2246742, 0, 0, 0, 0.00
0;459;880605;;2229743, 0, 0, 0, 0.00
0;460;884246;;2241751, 0, 0, 0, 0.00
0;461;887917;;2253752, 0, 0, 0, 0.00
0;462;885145;;2244736, 0, 0, 0, 0.00
0;463;890043;;2260738, 0, 0, 0, 0.00
0;464;671775;;70990, 0, 0, 0, 0.00
0;465;890991;;2263756, 0, 0, 0, 0.00
0;466;881803;;2233736, 0, 0, 0, 0.00
0;467;880307;;2228746, 0, 0, 0, 0.00
0;468;889727;;2259731, 0, 0, 0, 0.00
0;469;884839;;2243735, 0, 0, 0, 0.00
0;470;885146;;2244737, 0, 0, 0, 0.00
0;471;880600;;2229738, 0, 0, 0, 0.00
0;472;885457;;2245743, 0, 0, 0, 0.00
0;473;882119;;2234739, 0, 0, 0, 0.00
0;474;887601;;2252743, 0, 0, 0, 0.00
0;475;881200;;2231736, 0, 0, 0, 0.00
0;476;888528;;2255747, 0, 0, 0, 0.00
0;477;885766;;2246747, 0, 0, 0, 0.00
0;478;887286;;2251734, 0, 0, 0, 0.00
0;479;673750;;85352, 0, 0, 0, 0.00
0;480;882727;;2236749, 0, 0, 0, 0.00
0;481;886370;;2248739, 0, 0, 0, 0.00
0;482;1337669;;
0;483;892220;;2267742, 0, 0, 0, 0.00
0;484;883017;;2237736, 0, 0, 0, 0.00
0;485;890345;;2261730, 0, 0, 0, 0.00
0;486;882726;;2236748, 0, 0, 0, 0.00
0;487;671776;;70991, 0, 0, 0, 0.00
0;488;886365;;2248734, 0, 0, 0, 0.00
0;489;671858;;71610, 0, 0, 0, 0.00
0;490;888839;;2256750, 0, 0, 0, 0.00
0;491;673848;;86035, 0, 0, 0, 0.00
0;492;880009;;2227748, 0, 0, 0, 0.00
0;493;880612;;2229750, 0, 0, 0, 0.00
0;494;886672;;2249735, 0, 0, 0, 0.00
0;495;881199;;2231735, 0, 0, 0, 0.00
0;496;892844;;2269742, 0, 0, 0, 0.00
0;497;891294;;2264749, 0, 0, 0, 0.00
0;498;890347;;2261732, 0, 0, 0, 0.00
0;499;887610;;2252752, 0, 0, 0, 0.00
0;500;885144;;2244735, 0, 0, 0, 0.00
0;501;889138;;2257740, 0, 0, 0, 0.00
0;502;886366;;2248735, 0, 0, 0, 0.00
0;503;674334;;89499, 0, 0, 0, 0.00
0;504;880603;;2229741, 0, 0, 0, 0.00
0;505;883926;;2240735, 0, 0, 0, 0.00
0;506;890058;;2260753, 0, 0, 0, 0.00
0;507;889427;;2258740, 0, 0, 0, 0.00
0;508;883028;;2237747, 0, 0, 0, 0.00
0;509;890349;;2261734, 0, 0, 0, 0.00
0;510;888228;;2254755, 0, 0, 0, 0.00
0;511;886980;;2250736, 0, 0, 0, 0.00
0;512;673944;;86716, 0, 0, 0, 0.00
0;513;883623;;2239736, 0, 0, 0, 0.00
0;514;892537;;2268747, 0, 0, 0, 0.00
0;515;888530;;2255749, 0, 0, 0, 0.00
0;516;882125;;2234745, 0, 0, 0, 0.00
0;517;673656;;84673, 0, 0, 0, 0.00
0;518;880908;;2230745, 0, 0, 0, 0.00
0;519;881811;;2233744, 0, 0, 0, 0.00
0;520;886682;;2249745, 0, 0, 0, 0.00
0;521;880309;;2228748, 0, 0, 0, 0.00
0;522;880004;;2227743, 0, 0, 0, 0.00
0;523;881813;;2233746, 0, 0, 0, 0.00
0;524;887915;;2253750, 0, 0, 0, 0.00
0;525;883626;;2239739, 0, 0, 0, 0.00
0;526;884240;;2241745, 0, 0, 0, 0.00
0;527;880006;;2227745, 0, 0, 0, 0.00
0;528;885162;;2244753, 0, 0, 0, 0.00
0;529;880606;;2229744, 0, 0, 0, 0.00
0;530;883019;;2237738, 0, 0, 0, 0.00
0;531;885753;;2246734, 0, 0, 0, 0.00
0;532;892219;;2267741, 0, 0, 0, 0.00
0;533;891912;;2266745, 0, 0, 0, 0.00
0;534;890051;;2260746, 0, 0, 0, 0.00
0;535;672907;;79305, 0, 0, 0, 0.00
0;536;887295;;2251743, 0, 0, 0, 0.00
